fecha_completa;dia;mes;anio
1998,25 de diciembre,Navidad,Viernes;25;12;1998
1999,1 de enero,Año Nuevo,Viernes;1;1;1999
1999,11 de enero,Epifanía,Lunes;11;1;1999
1999,22 de marzo,Día de San José,Lunes;22;3;1999
1999,1 de abril,Jueves Santo,Jueves;1;4;1999
1999,2 de abril,Viernes Santo,Viernes;2;4;1999
1999,1 de mayo,Día del trabajo,Sábado;1;5;1999
1999,17 de mayo,Ascención de Jesús,Lunes;17;5;1999
1999,7 de junio,Corpus Christi,Lunes;7;6;1999
1999,14 de junio,Sagrado Corazón de Jesús,Lunes;14;6;1999
1999,5 de julio,San Pedro y San Pablo,Lunes;5;7;1999
1999,20 de julio,Día de la independencia,Martes;20;7;1999
1999,7 de agosto,Batalla de Boyacá,Sábado;7;8;1999
1999,16 de agosto,Asunción de la Virgen,Lunes;16;8;1999
1999,18 de octubre,Día de la raza,Lunes;18;10;1999
1999,1 de noviembre,Todos los Santos,Lunes;1;11;1999
1999,15 de noviembre,Independencia de Cartagena,Lunes;15;11;1999
1999,8 de diciembre,Inmaculada Concepción,Miércoles;8;12;1999
1999,25 de diciembre,Navidad,Sábado;25;12;1999
2000,1 de enero,Año Nuevo,Sábado;1;1;2000
2000,10 de enero,Epifanía,Lunes;10;1;2000
2000,20 de marzo,Día de San José,Lunes;20;3;2000
2000,20 de abril,Jueves Santo,Jueves;20;4;2000
2000,21 de abril,Viernes Santo,Viernes;21;4;2000
2000,1 de mayo,Día del trabajo,Lunes;1;5;2000
2000,5 de junio,Ascención de Jesús,Lunes;5;6;2000
2000,26 de junio,Corpus Christi,Lunes;26;6;2000
2000,3 de julio,San Pedro y San Pablo,Lunes;3;7;2000
2000,3 de julio,Sagrado Corazón de Jesús,Lunes;3;7;2000
2000,20 de julio,Día de la independencia,Jueves;20;7;2000
2000,7 de agosto,Batalla de Boyacá,Lunes;7;8;2000
2000,21 de agosto,Asunción de la Virgen,Lunes;21;8;2000
2000,16 de octubre,Día de la raza,Lunes;16;10;2000
2000,6 de noviembre,Todos los Santos,Lunes;6;11;2000
2000,13 de noviembre,Independencia de Cartagena,Lunes;13;11;2000
2000,8 de diciembre,Inmaculada Concepción,Viernes;8;12;2000
2000,25 de diciembre,Navidad,Lunes;25;12;2000
2001,1 de enero,Año Nuevo,Lunes;1;1;2001
2001,8 de enero,Epifanía,Lunes;8;1;2001
2001,19 de marzo,Día de San José,Lunes;19;3;2001
2001,12 de abril,Jueves Santo,Jueves;12;4;2001
2001,13 de abril,Viernes Santo,Viernes;13;4;2001
2001,1 de mayo,Día del trabajo,Martes;1;5;2001
2001,28 de mayo,Ascención de Jesús,Lunes;28;5;2001
2001,18 de junio,Corpus Christi,Lunes;18;6;2001
2001,25 de junio,Sagrado Corazón de Jesús,Lunes;25;6;2001
2001,2 de julio,San Pedro y San Pablo,Lunes;2;7;2001
2001,20 de julio,Día de la independencia,Viernes;20;7;2001
2001,7 de agosto,Batalla de Boyacá,Martes;7;8;2001
2001,20 de agosto,Asunción de la Virgen,Lunes;20;8;2001
2001,15 de octubre,Día de la raza,Lunes;15;10;2001
2001,5 de noviembre,Todos los Santos,Lunes;5;11;2001
2001,12 de noviembre,Independencia de Cartagena,Lunes;12;11;2001
2001,8 de diciembre,Inmaculada Concepción,Sábado;8;12;2001
2001,25 de diciembre,Navidad,Martes;25;12;2001
2002,1 de enero,Año Nuevo,Martes;1;1;2002
2002,7 de enero,Epifanía,Lunes;7;1;2002
2002,25 de marzo,Día de San José,Lunes;25;3;2002
2002,28 de marzo,Jueves Santo,Jueves;28;3;2002
2002,29 de marzo,Viernes Santo,Viernes;29;3;2002
2002,1 de mayo,Día del trabajo,Miércoles;1;5;2002
2002,13 de mayo,Ascención de Jesús,Lunes;13;5;2002
2002,3 de junio,Corpus Christi,Lunes;3;6;2002
2002,10 de junio,Sagrado Corazón de Jesús,Lunes;10;6;2002
